Instance Algorithm Nodes Limiar Cost Time
eil51 TAT 51 426 584 0.003
eil51 CHR 51 426 462 0.014
eil51 BAB 51 426 - NA
berlin52 TAT 52 7542 10114 0.003
berlin52 CHR 52 7542 8560 0.014
berlin52 BAB 52 7542 - NA
st70 TAT 70 675 888 0.005
st70 CHR 70 675 771 0.027
st70 BAB 70 675 - NA
eil76 TAT 76 538 696 0.006
eil76 CHR 76 538 608 0.038
eil76 BAB 76 538 - NA
pr76 TAT 76 108159 145336 0.006
pr76 CHR 76 108159 116684 0.024
pr76 BAB 76 108159 - NA
rat99 TAT 99 1211 1693 0.009
rat99 CHR 99 1211 1393 0.057
rat99 BAB 99 1211 - NA
kroA100 TAT 100 21282 27210 0.01
kroA100 CHR 100 21282 23293 0.069
kroA100 BAB 100 21282 - NA
kroB100 TAT 100 22141 25885 0.011
kroB100 CHR 100 22141 24012 0.05
kroB100 BAB 100 22141 - NA
kroC100 TAT 100 20749 27968 0.01
kroC100 CHR 100 20749 22752 0.061
kroC100 BAB 100 20749 - NA
kroD100 TAT 100 21294 27112 0.011
kroD100 CHR 100 21294 23781 0.066
kroD100 BAB 100 21294 - NA
kroE100 TAT 100 22068 29965 0.011
kroE100 CHR 100 22068 23819 0.077
kroE100 BAB 100 22068 - NA
rd100 TAT 100 7910 10790 0.009
rd100 CHR 100 7910 8906 0.1
rd100 BAB 100 7910 - NA
eil101 TAT 101 629 830 0.01
eil101 CHR 101 629 707 0.075
eil101 BAB 101 629 - NA
lin105 TAT 105 14379 19495 0.011
lin105 CHR 105 14379 16487 0.066
lin105 BAB 105 14379 - NA
pr107 TAT 107 44303 54237 0.011
pr107 CHR 107 44303 47906 0.051
pr107 BAB 107 44303 - NA
pr124 TAT 124 59030 74139 0.014
pr124 CHR 124 59030 64668 0.067
pr124 BAB 124 59030 - NA
bier127 TAT 127 118282 158626 0.015
bier127 CHR 127 118282 133311 0.171
bier127 BAB 127 118282 - NA
ch130 TAT 130 6110 8129 0.016
ch130 CHR 130 6110 6841 0.0961
ch130 BAB 130 6110 - NA
pr136 TAT 136 96772 151904 0.037
pr136 CHR 136 96772 103772 0.046
pr136 BAB 136 96772 - NA
pr144 TAT 144 58537 80599 0.02
pr144 CHR 144 58537 70610 0.0497
pr144 BAB 144 58537 - NA
